Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-09-14,MGL,224,PEK,UBN,3,E24,,,false,,2024-09-14T09:30,,,,,,2024-09-14T12:00,,Boeing 737-800,,5D4ON5,,,ECONOMY,,,07dc4cdf-b7f0-4bf8-88b2-ec63454e6094,68c316bc-8607-48bb-8c70-3011da594e14,fa495023-95f7-46c7-abf5-69a5f2120d69,5802e0da-e86c-43d3-93f8-0cea628f8ab3,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-09-17,MGL,223,UBN,PEK,,,3,B,false,,2024-09-17T18:00,,,,,,2024-09-17T20:10,,Boeing 737 MAX 8,,5D4ON5,6A,WINDOW,ECONOMY,,,b96f70b5-2ce3-48a2-b249-0f7e0517b715,68c316bc-8607-48bb-8c70-3011da594e14,5802e0da-e86c-43d3-93f8-0cea628f8ab3,fa495023-95f7-46c7-abf5-69a5f2120d69,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-09-18,AAR,332,PEK,ICN,3,,1,12,false,,2024-09-18T10:40,,,,,,2024-09-18T13:50,2024-09-18T13:38,Airbus A321neo,,5G34ET,11H,AISLE,ECONOMY,,,8925f500-d095-4b25-a0fe-f722330b19a9,3c484b30-2d33-4171-9aa8-5496efac3560,fa495023-95f7-46c7-abf5-69a5f2120d69,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-09-18,AAR,272,ICN,SEA,1,14,Main,,false,,2024-09-18T18:15,2024-09-18T18:16,,,,,2024-09-18T12:45,,Airbus A350-900,,5G34ET,38C,AISLE,ECONOMY,,,8c0516fa-c6e4-4adb-b08c-5c6454872928,3c484b30-2d33-4171-9aa8-5496efac3560,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,b3f217fd-4bc7-4806-9efe-abe9446a74df,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-10-24,ASA,280,SEA,EWR,Main,N5,B,B41,false,,2024-10-24T06:32,2024-10-24T06:24,,,,,2024-10-24T14:57,2024-10-24T14:28,Boeing 737 MAX 8,,,21C,AISLE,,,,9732e6c9-4855-49cb-b52c-006a5a29f48b,45411282-5411-46ac-89ce-720ab9efe700,b3f217fd-4bc7-4806-9efe-abe9446a74df,4427d229-a1e2-4955-81fa-9b5c0f103f12,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-10-27,ASA,477,EWR,SEA,B,B43,Main,N10,false,,2024-10-27T18:29,2024-10-27T18:23,,,,,2024-10-27T21:35,2024-10-27T21:38,Boeing 737-800,,,,,,,,1af09a3a-3018-48c3-b8f6-45e8819ab9c1,45411282-5411-46ac-89ce-720ab9efe700,4427d229-a1e2-4955-81fa-9b5c0f103f12,b3f217fd-4bc7-4806-9efe-abe9446a74df,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-11-02,CHH,496,SEA,PEK,Main,S15,2,,false,,2024-11-02T11:40,2024-11-02T11:56,,,,,2024-11-03T15:55,2024-11-03T16:40,Boeing 787-9,,2XVJU9,50C,AISLE,ECONOMY,,,c90b5f7f-8e08-4fe9-8bfe-6ae71e9e8ff0,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,b3f217fd-4bc7-4806-9efe-abe9446a74df,fa495023-95f7-46c7-abf5-69a5f2120d69,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-11-05,CHH,495,PEK,SEA,2,14,Main,,false,,2024-11-05T13:20,2024-11-05T13:21,,,,,2024-11-05T08:40,2024-11-05T07:36,Boeing 787-9,,2XVJU9,39C,AISLE,ECONOMY,,,f97363b4-2bea-454f-ab50-d2c72a64338d,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,fa495023-95f7-46c7-abf5-69a5f2120d69,b3f217fd-4bc7-4806-9efe-abe9446a74df,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-11-17,DAL,2769,SEA,LAX,Main,S6,3,33,false,,2024-11-17T09:40,2024-11-17T09:34,,,,,2024-11-17T12:36,2024-11-17T12:13,Airbus A321neo,,,28E,MIDDLE,,,,4e388ffb-8679-4223-81c0-70771e343742,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,25b8d712-9888-423f-868d-b25f1d184aaf,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-11-17,DAL,4091,LAX,ABQ,2,21A,Main,B8,false,,2024-11-17T14:05,2024-11-17T14:07,,,,,2024-11-17T17:05,2024-11-17T17:05,Embraer 175,,,,,,,,e27757dc-a924-44dd-8f5e-7ba27cd17e13,a8765091-d043-44b1-936c-d217bb519e56,25b8d712-9888-423f-868d-b25f1d184aaf,7b925806-8601-400f-bd02-c38802c531b8,,36728d5b-40cd-46ec-93ba-8822376b565d
